"country","name","position"
"Austria","Mr Sebastian KURZ","Federal Chancellor"
"Austria","Mr Werner KOGLER","Vice-Chancellor, Federal Minister for Arts, Culture, the Civil Service and Sport"
"Austria","Ms Alma ZADIC","Federal Minister for Justice"
"Austria","Mr Gernot BLÜMEL","Federal Minister for Finance"
"Austria","Ms Elisabeth KÖSTINGER","Federal Minister for Agriculture, Regions and Tourism"
"Austria","Mr Karl NEHAMMER","Federal Minister for the Interior"
"Austria","Mr Heinz FASSMANN","Federal Minister for Education, Science and Research"
"Austria","Ms Leonore GEWESSLER","Federal Minister for Climate Action, Environment, Energy, Mobility, Innovation and Technology"
"Austria","Mr Alexander SCHALLENBERG","Federal Minister for European and International Affairs"
"Austria","Ms Karoline EDTSTADLER","Federal Minister within the Federal Chancellery for the EU and Constitution"
"Austria","Ms Klaudia TANNER","Federal Minister for Defence"
"Austria","Ms Christine ASCHBACHER","Federal Minister for Labour, Family and Youth"
"Austria","Ms Susanne RAAB","Federal Minister within the Federal Chancellery for Women and Integration"
"Austria","Ms Margarete SCHRAMBÖCK","Federal Minister for Digital and Economic Affairs"
"Austria","Mr Rudolf ANSCHOBER","Federal Minister for Social Affairs, Health, Care and Consumer Protection"
"Austria","Ms Ulrike LUNACEK","State Secretary, Federal Ministry of Arts, Culture, the Civil Service and Sport"
"Austria","Mr Magnus BRUNNER","State Secretary, Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology"
"Bulgaria","Mr Boyko BORISSOV","Prime Minister"
"Bulgaria","Mr Tomislav DONCHEV","Deputy Prime Minister"
"Bulgaria","Ms Mariana NIKOLOVA","Deputy Prime Minister for Economic and Demographic Policy"
"Bulgaria","Mr Krasimir KARAKACHANOV","Deputy Prime Minister for Public Order and Security and Minister for Defence"
"Bulgaria","Ms Ekaterina ZAHARIEVA","Deputy Prime Minister for Judicial Reform and Minister for Foreign Affairs"
"Bulgaria","Mr Vladislav GORANOV","Minister for Finance"
"Bulgaria","Ms Marinela PETROVA","Deputy Minister for Finance"
"Bulgaria","Ms Rositsa VELKOVA","Deputy Minister for Finance"
"Bulgaria","Mr Mladen MARINOV","Minister for the Interior"
"Bulgaria","Mr Stefan BALABANOV","Deputy Minister for the Interior"
"Bulgaria","Mr Milko BERNER","Deputy Minister for the Interior"
"Bulgaria","Mr Petko DOYKOV","Deputy Minister for Foreign Affairs"
"Bulgaria","Mr Milen LYUTSKANOV","Deputy Minister for Foreign Affairs"
"Bulgaria","Mr Georg GEORGIEV","Deputy Minister for Foreign Affairs"
"Bulgaria","Ms Petya AVRAMOVA","Minister for Regional Development and Public Works"
"Bulgaria","Mr Nikolay NANKOV","Deputy Minister for Regional Development and Public Works"
"Bulgaria","Mr Valentin YOVEV","Deputy Minister for Regional Development and Public Works"
"Bulgaria","Ms Denitsa NIKOLOVA","Deputy Minister for Regional Development and Public Works"
"Bulgaria","Ms Denitsa SACHEVA","Minister for Labour and Social Policy"
"Bulgaria","Ms Zornitsa RUSINOVA","Deputy Minister for Labour and Social Policy"
"Bulgaria","Mr Lazar LAZAROV","Deputy Minister for Labour and Social Policy"
"Bulgaria","Ms Sultanka PETROVA","Deputy Minister for Labour and Social Policy"
"Bulgaria","Mr Danail KIRILOV","Minister for Justice"
"Bulgaria","Ms Desislava AHLADOVA","Deputy Minister for Justice"
