cntry;gov_name;link
Austria;Kurz II;https://en.wikipedia.org/wiki/Second_Kurz_government
Belgium;De Croo;https://en.wikipedia.org/wiki/De_Croo_Government
Bulgaria;Yanev;https://en.wikipedia.org/wiki/Yanev_Government
Croatia;Plenković II;https://en.wikipedia.org/wiki/Cabinet_of_Andrej_Plenkovi%C4%87_II
Cyprus;Anastasiades II;https://en.wikipedia.org/wiki/Second_Anastasiades_government
Czech Republic;Babiš II;https://en.wikipedia.org/wiki/Andrej_Babi%C5%A1%27_Second_Cabinet
Denmark;Frederiksen;https://en.wikipedia.org/wiki/Frederiksen_Cabinet
Estonia;K. Kallas;https://en.wikipedia.org/wiki/Kaja_Kallas%27_cabinet
Finland;Marin;https://en.wikipedia.org/wiki/Marin_Cabinet
France;Castex;https://en.wikipedia.org/wiki/Castex_government
Germany;Merkel IV;https://en.wikipedia.org/wiki/Fourth_Merkel_cabinet
Greece;Mitsotakis;https://en.wikipedia.org/wiki/Cabinet_of_Kyriakos_Mitsotakis
Hungary;Orbán IV;https://en.wikipedia.org/wiki/Fourth_Orb%C3%A1n_Government
Republic of Ireland;Martin;https://en.wikipedia.org/wiki/Government_of_the_33rd_D%C3%A1il
Italy;Draghi;https://en.wikipedia.org/wiki/Draghi_Cabinet
Latvia;Kariņš;https://en.wikipedia.org/wiki/Kari%C5%86%C5%A1_cabinet
Lithuania;Šimonytė;https://en.wikipedia.org/wiki/%C5%A0imonyt%C4%97_Cabinet
Luxembourg;Bettel II;https://en.wikipedia.org/wiki/Bettel%E2%80%93Schneider_Ministry_II
Malta;Abela;https://en.wikipedia.org/wiki/Maltese_Government_2017%E2%80%932022
Netherlands;Rutte III;https://en.wikipedia.org/wiki/Third_Rutte_cabinet
Poland;Morawiecki II;https://en.wikipedia.org/wiki/Second_Cabinet_of_Mateusz_Morawiecki
Portugal;Costa II;https://en.wikipedia.org/wiki/XXII_Constitutional_Government_of_Portugal
Romania;Cîțu;https://en.wikipedia.org/wiki/C%C3%AE%C8%9Bu_Cabinet
Slovakia;Heger;https://en.wikipedia.org/wiki/Heger%27s_Cabinet
Slovenia;Janša III;https://en.wikipedia.org/wiki/14th_Government_of_Slovenia
Spain;Sánchez II;https://en.wikipedia.org/wiki/Second_government_of_Pedro_S%C3%A1nchez
Sweden;Löfven II;https://en.wikipedia.org/wiki/L%C3%B6fven_II_Cabinet
