cntry;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance
AUT;Sebastian Kurz;Chancellor of Austria[a];ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Werner Kogler;Vice-Chancellor of AustriaMinister for Arts, Culture, the Civil Service and Sport;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Karoline Edtstadler;Chancellery minister for the EU and Constitution;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Susanne Raab;Chancellery minister for Women and Integration;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Karl Nehammer;Minister of the Interior;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Alexander Schallenberg;Minister for European and International Affairs;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Alma Zadić;Minister of Justice;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Rudolf Anschober;Minister of Social Affairs, Health, Care, and Consumer Protection;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Wolfgang Mückstein;Minister of Social Affairs, Health, Care, and Consumer Protection;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Christine Aschbacher;Minister of Labour, Family and Youth;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Martin Kocher;Minister of Labour, Family and Youth;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Klaudia Tanner;Minister of Defence;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Heinz Faßmann;Minister of Education, Science, and Research;Independent(ÖVP nominated);NI;NI;NI;NI;NI;NI
AUT;Leonore Gewessler;Minister of Climate Action, Environment, Energy, Mobility, Innovation and Technology[b];Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Elisabeth Köstinger;Minister of Agriculture, Regions, and Tourism;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Margarete Schramböck;Minister of Digital and Economic Affairs;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Gernot Blümel;Minister of Finance;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Magnus Brunner;State secretary in the Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology[b];ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Ulrike Lunacek;State secretary in the Ministry for Arts, Culture, the Civil Service and Sport;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Andrea Mayer;State secretary in the Ministry for Arts, Culture, the Civil Service and Sport;Independent(Greens nominated);NI;NI;NI;NI;NI;NI
AUT;Alexander Schallenberg;Chancellor of Austria[a];ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Werner Kogler;Vice-Chancellor of AustriaMinister for Arts, Culture, the Civil Service and Sport;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Susanne Raab;Chancellery minister for Women and Integration;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Susanne Raab;Minister for Women, Family, Youth and Integration;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Karoline Edtstadler;Chancellery minister for the EU and Constitution;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Gernot Blümel;Minister of Finance;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Heinz Faßmann;Minister of Education, Science, and Research;Independent(ÖVP nominated);NI;NI;NI;NI;NI;NI
AUT;Leonore Gewessler;Minister of Climate Action, Environment, Energy, Mobility, Innovation and Technology[b];Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Martin Kocher;Minister of Labour;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Elisabeth Köstinger;Minister of Agriculture, Regions, and Tourism;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Michael Linhart;Minister for European and International Affairs;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Wolfgang Mückstein;Minister of Social Affairs, Health, Care, and Consumer Protection;Greens;Die Grünen – Die Grüne Alternative;GRÜNE;The Greens – The Green Alternative;Green;Greens/EFA;"Strongly in favour of EU integration;"
AUT;Karl Nehammer;Minister of the Interior;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Margarete Schramböck;Minister of Digital and Economic Affairs;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
AUT;Klaudia Tanner;Minister of Defence;ÖVP;Österreichische Volkspartei;ÖVP;Austrian People’s Party;Centre-right;EPP;"Somewhat in favour of EU integration;"
