cntry;name;portfolio;took_office;left_office;party;period;in_office;state_secs;ministry;term;deputies;position
AT;Sebastian Kurz;Chancellor of Austria[a];7 January 2020 (2020-01-07);11 October 2021 (2021-10-11);ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Werner Kogler;Vice-Chancellor of AustriaMinister for Arts, Culture, the Civil Service and Sport;7 January 2020 (2020-01-07);;Greens;NA;NA;NA;NA;NA;NA;NA
AT;Karoline Edtstadler;Chancellery minister for the EU and Constitution;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Susanne Raab;Chancellery minister for Women and Integration;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Karl Nehammer;Minister of the Interior;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Alexander Schallenberg;Minister for European and International Affairs;7 January 2020 (2020-01-07);11 October 2021 (2021-10-11);ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Alma Zadić;Minister of Justice;7 January 2020 (2020-01-07);;Greens;NA;NA;NA;NA;NA;NA;NA
AT;Rudolf Anschober;Minister of Social Affairs, Health, Care, and Consumer Protection;7 January 2020 (2020-01-07);13 April 2021 (2021-04-13);Greens;NA;NA;NA;NA;NA;NA;NA
AT;Wolfgang Mückstein;Minister of Social Affairs, Health, Care, and Consumer Protection;19 April 2021 (2021-04-19);;Greens;NA;NA;NA;NA;NA;NA;NA
AT;Christine Aschbacher;Minister of Labour, Family and Youth;7 January 2020 (2020-01-07);9 January 2021 (2021-01-09);ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Martin Kocher;Minister of Labour, Family and Youth;11 January 2021 (2021-01-11);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Klaudia Tanner;Minister of Defence;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Heinz Faßmann;Minister of Education, Science, and Research;7 January 2020 (2020-01-07);;Independent(ÖVP nominated);NA;NA;NA;NA;NA;NA;NA
AT;Leonore Gewessler;Minister of Climate Action, Environment, Energy, Mobility, Innovation and Technology[b];7 January 2020 (2020-01-07);;Greens;NA;NA;NA;NA;NA;NA;NA
AT;Elisabeth Köstinger;Minister of Agriculture, Regions, and Tourism;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Margarete Schramböck;Minister of Digital and Economic Affairs;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Gernot Blümel;Minister of Finance;7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Magnus Brunner;State secretary in the Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology[b];7 January 2020 (2020-01-07);;ÖVP;NA;NA;NA;NA;NA;NA;NA
AT;Ulrike Lunacek;State secretary in the Ministry for Arts, Culture, the Civil Service and Sport;7 January 2020 (2020-01-07);20 May 2020 (2020-05-20);Greens;NA;NA;NA;NA;NA;NA;NA
AT;Andrea Mayer;State secretary in the Ministry for Arts, Culture, the Civil Service and Sport;20 May 2020 (2020-05-20);;Independent(Greens nominated);NA;NA;NA;NA;NA;NA;NA
BE;Alexander De Croo;Prime Minister;1 October 2020;Incumbent;Open Vld;NA;NA;NA;NA;NA;NA;NA
BE;Pierre-Yves Dermagne;Minister of Economy and Employment;1 October 2020;Incumbent;Parti Socialiste (Belgium);NA;NA;NA;NA;NA;NA;NA
BE;Sophie Wilmès (deputised by David Clarinval);Minister of Foreign Affairs, European Affairs, Foreign Trade and Federal Cultural Institutions;1 October 2020;Incumbent;Mouvement Réformateur;NA;NA;NA;NA;NA;NA;NA
BE;Georges Gilkinet;Minister of Mobility;1 October 2020;Incumbent;Ecolo;NA;NA;NA;NA;NA;NA;NA
BE;Vincent Van Peteghem;Minister of Finance, in charge of the Coordination of the Fight against Fraud;1 October 2020;Incumbent;CD&V;NA;NA;NA;NA;NA;NA;NA
BE;Frank Vandenbroucke;Minister of Social Affairs and Public Health;1 October 2020;Incumbent;Vooruit;NA;NA;NA;NA;NA;NA;NA
BE;Petra De Sutter;Minister of Civil Service, Public Enterprises, Telecommunication and Postal Services;1 October 2020;Incumbent;Groen;NA;NA;NA;NA;NA;NA;NA
BE;Vincent Van Quickenborne;Minister of Justice and the North Sea;1 October 2020;Incumbent;Open Vld;NA;NA;NA;NA;NA;NA;NA
BE;David Clarinval;Minister of the Small Businesses, Self-Employed, SMEs and Agriculture,  Institutional Reforms and Democratic Renewal;1 October 2020;Incumbent;Mouvement Réformateur;NA;NA;NA;NA;NA;NA;NA
BE;Karine Lalieux;Minister of Pensions and Social Integration, in charge of Persons with Disabilities, Combating Poverty and Beliris;1 October 2020;Incumbent;Parti Socialiste (Belgium);NA;NA;NA;NA;NA;NA;NA
BE;Ludivine Dedonder;Minister of Defence;1 October 2020;Incumbent;Parti Socialiste (Belgium);NA;NA;NA;NA;NA;NA;NA
