"cntry";"name";"took_office";"left_office";"took_office_f";"left_office_f"
"AT";"Sebastian Kurz";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Werner Kogler";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Karoline Edtstadler";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Susanne Raab";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Karl Nehammer";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Alexander Schallenberg";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Alma Zadić";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Rudolf Anschober";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Christine Aschbacher";"7 January 2020";"9 January 2021";"2020/01/07 00:00:00";"2021/01/09 00:00:00"
"AT";"Klaudia Tanner";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Heinz Faßmann";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Leonore Gewessler";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Elisabeth Köstinger";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Margarete Schramböck";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Gernot Blümel";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Magnus Brunner";"7 January 2020";NA;"2020/01/07 00:00:00";NA
"AT";"Andrea Mayer";"20 May 2020";NA;"2020/05/20 00:00:00";NA
"AT";"Ulrike Lunacek";"7 January 2020";"20 May 2020";"2020/01/07 00:00:00";"2020/05/20 00:00:00"
"BE";"Alexander De Croo";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Pierre-Yves Dermagne";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Sophie Wilmès (replaced during illness by David Clarinval)";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Georges Gilkinet";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Vincent Van Peteghem";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Frank Vandenbroucke";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Petra De Sutter";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Vincent Van Quickenborne";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"David Clarinval";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Karine Lalieux";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Ludivine Dedonder";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Zakia Khattabi";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Annelies Verlinden";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Meryame Kitir";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Tinne Van der Straeten";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
"BE";"Thomas Dermine";"1 October 2020";"Incumbent";"2020/10/01 00:00:00";NA
