abbr;full_title;date;cntry.x;name;office;isocntry;matchprep.x;cntry.y;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance;matchprep.y
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Belgium;Mr René COLLIN;Minister for Agriculture, Nature, Rural Affairs, Tourism and Heritage;BEL;renécollin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Belgium;Mr Koen VAN DEN HEUVEL;Flemish Minister for the Environment, Nature and Agriculture;BEL;koenvandenheuvel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Denmark;Mr Per FABRICIUS ANDERSEN;Deputy Permanent Representative;DNK;perfabriciusandersen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Greece;Mr Mavroudis VORIDIS;Minister for Rural Development and Food;GRC;mavroudisvoridis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Spain;Mr Luis PLANAS PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;France;Mr Didier GUILLAUME;Minister for Agriculture and Food;FRA;didierguillaume;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Croatia;Mr Tomislav TOLUŠIĆ;Deputy Prime Minister of the Republic of Croatia and Minister for Agriculture;HRV;tomislavtolušić;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Hungary;Mr Tibor STELBACZKY;Deputy Permanent Representative;HUN;tiborstelbaczky;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Netherlands;Ms Marjolijn SONNEMA;Director General AGRO, Ministry of Agriculture, Nature and Food Quality;NLD;marjolijnsonnema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Austria;Ms Maria PATEK;Federal Minister for Sustainability and Tourism;AUT;mariapatek;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Romania;Mr Achim IRIMESCU;Spokesperson SCA;ROU;achimirimescu;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Slovakia;Mr Gabriel CSICSAI;State Secretary at the Ministry of Agriculture and Rural Development;SVK;gabrielcsicsai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL PARTICIPANTS Belgium:;2019-07-15;Sweden;Mr Robert GOODWILL;Minister of State for Agriculture, Fisheries and Food;SWE;robertgoodwill;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Belgium;Mr Willy BORSUS;Minister-President;BEL;willyborsus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Belgium;Mr Jan HOOGMARTENS;Deputy Permanent Representative;BEL;janhoogmartens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Spain;Mr Luis PLANAS PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;France;Mr Didier GUILLAUME;Minister for Agriculture and Food;FRA;didierguillaume;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Croatia;Mr Tugomir MAJDAK;State Secretary, Ministry of Agriculture;HRV;tugomirmajdak;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Italy;Mr Giuseppe L'ABBATE;State Secretary for Agricultural, Food and Forestry Policy;ITA;giuseppelabbate;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Latvia;Mr Jānis GRASBERGS;Parliamentary Secretary, Ministry of Agriculture;LVA;jānisgrasbergs;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Lithuania;Mr Evaldas GUSTAS;Deputy Minister for Agriculture;LTU;evaldasgustas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Hungary;Mr Tibor STELBACZKY;Deputy Permanent Representative;HUN;tiborstelbaczky;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Netherlands;Mr Guido LANDHEER;Deputy Director-General European and International Affairs;NLD;guidolandheer;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Netherlands;Mr Meyndert VAN DER KOLK;Mertens;NLD;meyndertvanderkolk;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Austria;Ms Maria PATEK;Federal Minister for Sustainability and Tourism;AUT;mariapatek;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Poland;Mr Ryszard ZARUDZKI;Deputy State Secretary, Ministry of Agriculture and Rural Development;POL;ryszardzarudzki;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Portugal;Mr Pedro LOURTIE;Deputy Permanent Representative;PRT;pedrolourtie;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Romania;Mr Daniel-Eugeniu CRUNȚEANU;State Secretary;ROU;danieleugeniucrunțeanu;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Slovakia;Mr Gabriel CSICSAI;State Secretary at the Ministry of Agriculture and Rural Development;SVK;gabrielcsicsai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October  PARTICIPANTS Belgium:;2019-10-14;Sweden;Mr Katrina WILLIAMS;Deputy Permanent Representative;SWE;katrinawilliams;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Czech Republic;Mr Jiří ŠÍR;Deputy Minister for Agriculture;CZE;jiříšír;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Germany;Mr Hermann Onko AEIKENS;State Secretary, Federal Ministry of Food and Agriculture;DEU;hermannonkoaeikens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Estonia;Mr Marten KOKK;Deputy Permanent Representative;EST;martenkokk;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Spain;Mr Fernando MIRANDA SOTILLOS;Secretary-General of Agriculture and Food of the Ministry of Agriculture, Fisheries and Food;ESP;fernandomirandasotillos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
